Week,Date,Demand
205,29/11/2004,115.59
206,06/12/2004,114.97
207,13/12/2004,124.69
208,20/12/2004,109.39
209,27/12/2004,115.83
210,03/01/2005,131.5
211,10/01/2005,120.88
212,17/01/2005,122.84
213,24/01/2005,120.8
214,31/01/2005,131.79
215,07/02/2005,139.95
216,14/02/2005,138.02
217,21/02/2005,131.19
218,28/02/2005,127.83
219,07/03/2005,148.81
220,14/03/2005,134.07
221,21/03/2005,135.98
222,28/03/2005,134.88
223,04/04/2005,142.4
224,11/04/2005,147.8
225,18/04/2005,147.22
226,25/04/2005,138
227,02/05/2005,135.01
228,09/05/2005,123.08
229,16/05/2005,125.33
230,23/05/2005,136.21
231,30/05/2005,137.88
232,06/06/2005,128.99
233,13/06/2005,129.32
234,20/06/2005,127.3
235,27/06/2005,112.09
236,04/07/2005,127.46
237,11/07/2005,121.31
238,18/07/2005,130.79
239,25/07/2005,115.18
240,01/08/2005,117.11
241,08/08/2005,112.13
242,15/08/2005,108.15
243,22/08/2005,124.12
244,29/08/2005,99.41
245,05/09/2005,122.72
246,12/09/2005,111.81
247,19/09/2005,119.69
248,26/09/2005,111.19
249,03/10/2005,115.52
250,10/10/2005,112.35
251,17/10/2005,105.41
252,24/10/2005,105.72
253,31/10/2005,107.44
254,07/11/2005,115.98
255,14/11/2005,122.22
256,21/11/2005,120.89
257,28/11/2005,121.39
258,05/12/2005,124.52
259,12/12/2005,120.1
260,19/12/2005,115.51
261,26/12/2005,131.91
262,02/01/2006,140.07
263,09/01/2006,140.72
264,16/01/2006,117.84
265,23/01/2006,119.64
266,30/01/2006,120.76
267,06/02/2006,153.52
268,13/02/2006,136.38
269,20/02/2006,134.54
270,27/02/2006,140.11
271,06/03/2006,156.72
272,13/03/2006,146.33
273,20/03/2006,134.89
274,27/03/2006,142.56
275,03/04/2006,140.08
276,10/04/2006,130.88
277,17/04/2006,147.68
278,24/04/2006,141.3
279,01/05/2006,133.49
280,08/05/2006,145.11
281,15/05/2006,131.35
282,22/05/2006,137.72
283,29/05/2006,133.29
284,05/06/2006,129.86
285,12/06/2006,133.33
286,19/06/2006,142.21
287,26/06/2006,116.52
288,03/07/2006,124.93
289,10/07/2006,120.55
290,17/07/2006,124.76
291,24/07/2006,120.2
292,31/07/2006,116.75
293,07/08/2006,135.45
294,14/08/2006,112.97
295,21/08/2006,117.41
296,28/08/2006,121.34
297,04/09/2006,117.55
298,11/09/2006,119.61
299,18/09/2006,120.22
300,25/09/2006,122.76
301,02/10/2006,119.82
302,09/10/2006,116.44
303,16/10/2006,119.42
304,23/10/2006,115.6
305,30/10/2006,107.92
306,06/11/2006,134.01
307,13/11/2006,121.09
308,20/11/2006,122.24
309,27/11/2006,132.77
310,04/12/2006,116.58
311,11/12/2006,118.26
312,18/12/2006,132.25
313,25/12/2006,119.89
314,01/01/2007,143.63
315,08/01/2007,133.72
316,15/01/2007,134.02
317,22/01/2007,128.11
318,29/01/2007,128.3
319,05/02/2007,162.21
320,12/02/2007,145.7
321,19/02/2007,142.27
322,26/02/2007,162.14
323,05/03/2007,143.86
324,12/03/2007,148.98
325,19/03/2007,148.49
326,26/03/2007,143.42
327,02/04/2007,150.53
328,09/04/2007,143.14
329,16/04/2007,146.89
330,23/04/2007,152.22
331,30/04/2007,157.4
332,07/05/2007,152.61
333,14/05/2007,157.24
334,21/05/2007,145.44
335,28/05/2007,137.32
336,04/06/2007,145.29
337,11/06/2007,134.59
338,18/06/2007,140.65
339,25/06/2007,138.22
340,02/07/2007,119.43
341,09/07/2007,122.79
342,16/07/2007,140.98
343,23/07/2007,116.95
344,30/07/2007,127.09
345,06/08/2007,134.26
346,13/08/2007,128.63
347,20/08/2007,114.19
348,27/08/2007,126.31
349,03/09/2007,112.51
350,10/09/2007,112.85
351,17/09/2007,123.91
352,24/09/2007,115.56
353,01/10/2007,115.26
354,08/10/2007,121.44
355,15/10/2007,122.59
356,22/10/2007,131.29
357,29/10/2007,127.55
358,05/11/2007,124.81
359,12/11/2007,113.98
360,19/11/2007,137.57
361,26/11/2007,134.39
362,03/12/2007,127.4
363,10/12/2007,129.73
364,17/12/2007,138.22
365,24/12/2007,144.39
366,31/12/2007,139.78
367,07/01/2008,139.03
368,14/01/2008,144.18
369,21/01/2008,143.53
370,28/01/2008,157.2
371,04/02/2008,151.51
372,11/02/2008,139.76
373,18/02/2008,145.65
374,25/02/2008,150.38
375,03/03/2008,144.5
376,10/03/2008,146.4
377,17/03/2008,152.49
378,24/03/2008,161.27
379,31/03/2008,162.9
380,07/04/2008,140.52
381,14/04/2008,143.09
382,21/04/2008,148.97
383,28/04/2008,152.73
384,05/05/2008,154.98
385,12/05/2008,149.95
386,19/05/2008,152.29
387,26/05/2008,155.82
388,02/06/2008,143.79
389,09/06/2008,137.44
390,16/06/2008,121.31
391,23/06/2008,143.45
392,30/06/2008,155.33
393,07/07/2008,126.68
394,14/07/2008,138.73
395,21/07/2008,139.89
396,28/07/2008,134.27
397,04/08/2008,141.96
398,11/08/2008,126.35
399,18/08/2008,131.38
400,25/08/2008,126.77
401,01/09/2008,127.56
402,08/09/2008,127.01
403,15/09/2008,121.22
404,22/09/2008,118.11
405,29/09/2008,126.17
406,06/10/2008,134.24
407,13/10/2008,124.31
408,20/10/2008,129.31
409,27/10/2008,126.87
410,03/11/2008,124.71
411,10/11/2008,123.19
412,17/11/2008,138.76
413,24/11/2008,150.98
414,01/12/2008,138.75
415,08/12/2008,146.63
416,15/12/2008,145.82
417,22/12/2008,144.69
418,29/12/2008,146.95
419,05/01/2009,151.03
420,12/01/2009,140.56
421,19/01/2009,149.03
422,26/01/2009,161.2
423,02/02/2009,157.26
424,09/02/2009,145.61
425,16/02/2009,151.07
426,23/02/2009,161.16
427,02/03/2009,159.16
428,09/03/2009,152.06
429,16/03/2009,149.07
430,23/03/2009,150.57
431,30/03/2009,160.13
432,06/04/2009,165.46
433,13/04/2009,155.74
434,20/04/2009,138.99
435,27/04/2009,151.83
436,04/05/2009,156.04
437,11/05/2009,150.11
438,18/05/2009,147.94
439,25/05/2009,144.37
440,01/06/2009,142.15
441,08/06/2009,135.62
442,15/06/2009,136.11
443,22/06/2009,144.7
444,29/06/2009,155.87
445,06/07/2009,153.74
446,13/07/2009,135.45
447,20/07/2009,133.89
448,27/07/2009,132.99
449,03/08/2009,138.96
450,10/08/2009,136.23
451,17/08/2009,127.99
452,24/08/2009,131.94
453,31/08/2009,127.53
454,07/09/2009,133.94
455,14/09/2009,132.34
456,21/09/2009,128.81
457,28/09/2009,131.87
458,05/10/2009,138.91
459,12/10/2009,125.89
460,19/10/2009,123.81
461,26/10/2009,144.2
462,02/11/2009,145.79
463,09/11/2009,133.69
464,16/11/2009,129.5
465,23/11/2009,142.13
466,30/11/2009,132.15
467,07/12/2009,155.9
468,14/12/2009,140.87
469,21/12/2009,152.47
470,28/12/2009,153.42
471,04/01/2010,153.23
472,11/01/2010,142.2
473,18/01/2010,139.52
474,25/01/2010,159.55
475,01/02/2010,152.5
476,08/02/2010,145.46
477,15/02/2010,153.27
478,22/02/2010,168.14
479,01/03/2010,167.28
480,08/03/2010,165.06
481,15/03/2010,155.15
482,22/03/2010,170.93
483,29/03/2010,145.47
484,05/04/2010,154.51
485,12/04/2010,164.66
486,19/04/2010,156.68
487,26/04/2010,170.96
488,03/05/2010,161.2
489,10/05/2010,165.15
490,17/05/2010,159.06
491,24/05/2010,151.76
492,31/05/2010,144.18
493,07/06/2010,140.39
494,14/06/2010,154.87
495,21/06/2010,141.78
496,28/06/2010,144.57
497,05/07/2010,156.54
498,12/07/2010,143.15
499,19/07/2010,142.75
500,26/07/2010,133.47
501,02/08/2010,136.58
502,09/08/2010,138.22
503,16/08/2010,150.2
504,23/08/2010,126.9
505,30/08/2010,143.63
506,06/09/2010,133.38
507,13/09/2010,148.35
508,20/09/2010,138.17
509,27/09/2010,131.43
510,04/10/2010,132.49
511,11/10/2010,138.2
512,18/10/2010,141.02
513,25/10/2010,140.01
514,01/11/2010,134.99
515,08/11/2010,147.06
516,15/11/2010,147.46
517,22/11/2010,127.42
518,29/11/2010,158.63
519,06/12/2010,137.6
520,13/12/2010,137.82
521,20/12/2010,139.69
522,27/12/2010,157.69
523,03/01/2011,150.01
524,10/01/2011,158.41
525,17/01/2011,153.56
526,24/01/2011,156.87
527,31/01/2011,164.47
528,07/02/2011,159.75
529,14/02/2011,167.67
530,21/02/2011,166.05
531,28/02/2011,169.28
532,07/03/2011,177.4
533,14/03/2011,167.83
534,21/03/2011,174.66
535,28/03/2011,175.42
536,04/04/2011,182.29
537,11/04/2011,183.02
538,18/04/2011,166.89
539,25/04/2011,142.75
540,02/05/2011,176.17
541,09/05/2011,174.01
542,16/05/2011,157.71
543,23/05/2011,164.66
544,30/05/2011,162.82
545,06/06/2011,166.16
546,13/06/2011,146.21
547,20/06/2011,160.29
548,27/06/2011,144.47
549,04/07/2011,159.4
550,11/07/2011,156.17
551,18/07/2011,148.18
552,25/07/2011,136.33
553,01/08/2011,148.9
554,08/08/2011,135.53
555,15/08/2011,146.52
556,22/08/2011,139.01
557,29/08/2011,146.73
558,05/09/2011,156.45
559,12/09/2011,144.76
560,19/09/2011,134.11
561,26/09/2011,136.44
562,03/10/2011,149.03
563,10/10/2011,131.78
564,17/10/2011,143.77
565,24/10/2011,138.2
566,31/10/2011,140.95
567,07/11/2011,133.18
568,14/11/2011,139.21
569,21/11/2011,150.24
570,28/11/2011,153.35
571,05/12/2011,147.78
572,12/12/2011,156.17
573,19/12/2011,159.3
574,26/12/2011,155.24
575,02/01/2012,174.37
576,09/01/2012,170.19
577,16/01/2012,159.8
578,23/01/2012,160.99
579,30/01/2012,162.36
580,06/02/2012,159.38
581,13/02/2012,159.6
582,20/02/2012,178.35
583,27/02/2012,165.04
584,05/03/2012,180.24
585,12/03/2012,179.26
586,19/03/2012,178.33
587,26/03/2012,179.14
588,02/04/2012,181.38
589,09/04/2012,170.91
590,16/04/2012,169.86
591,23/04/2012,171.12
592,30/04/2012,161.83
593,07/05/2012,160.83
594,14/05/2012,166.27
595,21/05/2012,165.08
596,28/05/2012,169.03
597,04/06/2012,170.7
598,11/06/2012,164.19
599,18/06/2012,155.09
600,25/06/2012,146.31
601,02/07/2012,161.45
602,09/07/2012,143.48
603,16/07/2012,170.14
604,23/07/2012,149.59
605,30/07/2012,144.96
606,06/08/2012,142.85
607,13/08/2012,149.72
608,20/08/2012,135.75
609,27/08/2012,142.07
610,03/09/2012,136.6
611,10/09/2012,145.75
612,17/09/2012,131.08
613,24/09/2012,149.99
614,01/10/2012,142.82
615,08/10/2012,142.43
616,15/10/2012,155.78
617,22/10/2012,144.64
618,29/10/2012,148.67
619,05/11/2012,157.64
620,12/11/2012,164.41
621,19/11/2012,145.49
622,26/11/2012,147.63
623,03/12/2012,156.18
624,10/12/2012,162.28
625,17/12/2012,164.67
626,24/12/2012,169.31
627,31/12/2012,183.74
628,07/01/2013,167.41
629,14/01/2013,175.78
630,21/01/2013,172.65
631,28/01/2013,174.56
632,04/02/2013,178.37
633,11/02/2013,190.46
634,18/02/2013,183.25
635,25/02/2013,182.06
636,04/03/2013,166.55
637,11/03/2013,169.8
638,18/03/2013,172.35
639,25/03/2013,181.42
640,01/04/2013,168.43
641,08/04/2013,170.96
642,15/04/2013,185.86
643,22/04/2013,170.56
644,29/04/2013,181.5
645,06/05/2013,176.69
646,13/05/2013,191.63
647,20/05/2013,168.63
648,27/05/2013,153.83
649,03/06/2013,170.27
650,10/06/2013,167.18
651,17/06/2013,155.98
652,24/06/2013,168.62
653,01/07/2013,163.24
654,08/07/2013,161.61
655,15/07/2013,146.62
656,22/07/2013,179.41
657,29/07/2013,150.36
658,05/08/2013,158.71
659,12/08/2013,141.33
660,19/08/2013,155.14
661,26/08/2013,147.62
662,02/09/2013,150.58
663,09/09/2013,145.51
664,16/09/2013,146.69
665,23/09/2013,138.25
666,30/09/2013,151.42
667,07/10/2013,155.94
668,14/10/2013,149.92
669,21/10/2013,150.98
670,28/10/2013,148.69
671,04/11/2013,160.27
672,11/11/2013,166.5
673,18/11/2013,165.2
674,25/11/2013,158.3
675,02/12/2013,166.64
676,09/12/2013,168.63
677,16/12/2013,157.71
678,23/12/2013,189.26
679,30/12/2013,171.18
680,06/01/2014,183.67
681,13/01/2014,184.14
682,20/01/2014,177.17
683,27/01/2014,166.12
684,03/02/2014,178.77
685,10/02/2014,177.07
686,17/02/2014,184.56
687,24/02/2014,170.45
688,03/03/2014,174.13
689,10/03/2014,175.32
690,17/03/2014,192.76
691,24/03/2014,175.91
692,31/03/2014,187.95
693,07/04/2014,179.51
694,14/04/2014,171.58
695,21/04/2014,189.98
696,28/04/2014,162.05
697,05/05/2014,179.25
698,12/05/2014,178.07
699,19/05/2014,159.2
700,26/05/2014,182.79
701,02/06/2014,182.12
702,09/06/2014,183.14
703,16/06/2014,173.33
704,23/06/2014,161.58
705,30/06/2014,168.77
706,07/07/2014,175.08
707,14/07/2014,152.23
708,21/07/2014,168.86
709,28/07/2014,158.38
710,04/08/2014,152.71
711,11/08/2014,158.24
712,18/08/2014,148.82
713,25/08/2014,165.31
714,01/09/2014,153.95
715,08/09/2014,169.37
716,15/09/2014,152.48
717,22/09/2014,166.28
718,29/09/2014,151.76
719,06/10/2014,171.29
720,13/10/2014,159.87
721,20/10/2014,154.08
722,27/10/2014,155.21
723,03/11/2014,162.57
724,10/11/2014,166.96
725,17/11/2014,154.2
726,24/11/2014,178.85
727,01/12/2014,174.46
728,08/12/2014,174.98
729,15/12/2014,166.34
730,22/12/2014,181.23
731,29/12/2014,180.88
732,05/01/2015,190.6
733,12/01/2015,193.64
734,19/01/2015,171.05
735,26/01/2015,193.83
736,02/02/2015,191.74
737,09/02/2015,185.76
738,16/02/2015,191.61
739,23/02/2015,198.67
740,02/03/2015,200.86
741,09/03/2015,188.05
742,16/03/2015,197.32
743,23/03/2015,188.5
744,30/03/2015,196.13
745,06/04/2015,189.72
746,13/04/2015,195.8
747,20/04/2015,200.96
748,27/04/2015,176.54
749,04/05/2015,185.16
750,11/05/2015,182.98
751,18/05/2015,169.56
752,25/05/2015,184.85
753,01/06/2015,187.85
754,08/06/2015,173.78
755,15/06/2015,177.76
756,22/06/2015,180.39
757,29/06/2015,172.77
758,06/07/2015,179.35
759,13/07/2015,161.18
760,20/07/2015,172.09
761,27/07/2015,172.22
762,03/08/2015,163.12
763,10/08/2015,173.17
764,17/08/2015,166.43
765,24/08/2015,156.71
766,31/08/2015,170.1
767,07/09/2015,151.58
768,14/09/2015,171.19
769,21/09/2015,160.13
770,28/09/2015,160.97
771,05/10/2015,175.08
772,12/10/2015,157.46
773,19/10/2015,156.74
774,26/10/2015,175.27
775,02/11/2015,179.5
776,09/11/2015,162.62
777,16/11/2015,160.37
778,23/11/2015,167.59
779,30/11/2015,187.07
780,07/12/2015,179.84
781,14/12/2015,184.94
782,21/12/2015,185.78
783,28/12/2015,186.35
784,04/01/2016,187.38
785,11/01/2016,193.2
786,18/01/2016,187.52
787,25/01/2016,200.49
788,01/02/2016,194.21
789,08/02/2016,190.58
790,15/02/2016,189.67
791,22/02/2016,199.74
792,29/02/2016,184.71
793,07/03/2016,182.75
794,14/03/2016,185.76
795,21/03/2016,191.86
796,28/03/2016,194.25
797,04/04/2016,191.51
798,11/04/2016,189.37
799,18/04/2016,172.1
800,25/04/2016,184.91
801,02/05/2016,182.1
802,09/05/2016,200.32
803,16/05/2016,190.72
804,23/05/2016,187.14
805,30/05/2016,191.25
806,06/06/2016,182.25
807,13/06/2016,186.6
808,20/06/2016,160.42
809,27/06/2016,190.73
810,04/07/2016,167.66
811,11/07/2016,177.53
812,18/07/2016,190.6
813,25/07/2016,165.6
814,01/08/2016,152.21
815,08/08/2016,181.77
816,15/08/2016,175.28
817,22/08/2016,166.34
818,29/08/2016,165.73
819,05/09/2016,153.37
820,12/09/2016,163.44
821,19/09/2016,177.61
822,26/09/2016,170.13
823,03/10/2016,160.42
824,10/10/2016,166.84
825,17/10/2016,177.86
826,24/10/2016,181.5
827,31/10/2016,172.71
828,07/11/2016,170.99
829,14/11/2016,176.72
830,21/11/2016,190.38
831,28/11/2016,178.64
832,05/12/2016,177.28
833,12/12/2016,177.59
834,19/12/2016,195.44
835,26/12/2016,189.56
836,02/01/2017,179.3
837,09/01/2017,189.84
838,16/01/2017,193.27
839,23/01/2017,201.77
840,30/01/2017,193.24
841,06/02/2017,198.64
842,13/02/2017,187.58
843,20/02/2017,208.47
844,27/02/2017,186.48
845,06/03/2017,196.35
846,13/03/2017,205.97
847,20/03/2017,214.58
848,27/03/2017,187.69
849,03/04/2017,206.74
850,10/04/2017,205.14
851,17/04/2017,202.81
852,24/04/2017,186.43
853,01/05/2017,198.07
854,08/05/2017,194.19
855,15/05/2017,187.55
856,22/05/2017,182.24
857,29/05/2017,191.03
858,05/06/2017,174.5
859,12/06/2017,190.27
860,19/06/2017,177.3
861,26/06/2017,188.19
862,03/07/2017,182.47
863,10/07/2017,184.05
864,17/07/2017,173.9
865,24/07/2017,176.16
866,31/07/2017,177.48
867,07/08/2017,170.78
868,14/08/2017,170.21
869,21/08/2017,162.61
870,28/08/2017,173.16
871,04/09/2017,177.12
872,11/09/2017,173.28
873,18/09/2017,180.08
874,25/09/2017,177.06
875,02/10/2017,177.01
876,09/10/2017,172.03
877,16/10/2017,173.84
878,23/10/2017,166.68
879,30/10/2017,174.68
880,06/11/2017,181.02
881,13/11/2017,173.9
882,20/11/2017,173.65
883,27/11/2017,177.82
884,04/12/2017,180.88
885,11/12/2017,187.87
886,18/12/2017,188.96
887,25/12/2017,190.37
888,01/01/2018,197.31
889,08/01/2018,200.7
890,15/01/2018,197.46
891,22/01/2018,190.28
892,29/01/2018,196.72
893,05/02/2018,201.6
894,12/02/2018,196.62
895,19/02/2018,198.41
896,26/02/2018,205.85
897,05/03/2018,201.16
898,12/03/2018,208.68
899,19/03/2018,202.59
900,26/03/2018,201.04
901,02/04/2018,206.03
902,09/04/2018,193.61
903,16/04/2018,207.58
904,23/04/2018,202.53
905,30/04/2018,199.86
906,07/05/2018,212.41
907,14/05/2018,203.17
908,21/05/2018,199.8
909,28/05/2018,211.77
910,04/06/2018,200.22
911,11/06/2018,196.01
912,18/06/2018,183.12
913,25/06/2018,177.12
914,02/07/2018,194.3
915,09/07/2018,183.47
916,16/07/2018,187.63
917,23/07/2018,189.05
918,30/07/2018,175.76
919,06/08/2018,166.74
920,13/08/2018,184.43
921,20/08/2018,181.1
922,27/08/2018,186.43
923,03/09/2018,172.81
924,10/09/2018,181.5
925,17/09/2018,187.74
926,24/09/2018,162.88
927,01/10/2018,160.88
928,08/10/2018,165.25
929,15/10/2018,182.72
930,22/10/2018,194.84
931,29/10/2018,177.04
932,05/11/2018,185.98
933,12/11/2018,186.57
934,19/11/2018,178.37
935,26/11/2018,199.63
936,03/12/2018,188.7
937,10/12/2018,194.63
938,17/12/2018,204.26
939,24/12/2018,197.82
940,31/12/2018,200.72
941,07/01/2019,210.01
942,14/01/2019,194.78
943,21/01/2019,216.49
944,28/01/2019,198.61
945,04/02/2019,207.45
946,11/02/2019,218.84
947,18/02/2019,208.14
948,25/02/2019,194.92
949,04/03/2019,212.03
950,11/03/2019,202.03
951,18/03/2019,203.12
952,25/03/2019,215.21
953,01/04/2019,200.22
954,08/04/2019,211.98
955,15/04/2019,218.77
956,22/04/2019,216.38
957,29/04/2019,216.81
958,06/05/2019,200.97
959,13/05/2019,209.81
960,20/05/2019,210.59
961,27/05/2019,197.71
962,03/06/2019,193.71
963,10/06/2019,188.25
964,17/06/2019,187.56
965,24/06/2019,196.96
966,01/07/2019,179.4
967,08/07/2019,180.5
968,15/07/2019,189.43
969,22/07/2019,174.08
970,29/07/2019,182.79
971,05/08/2019,187.02
972,12/08/2019,175.45
973,19/08/2019,178.75
974,26/08/2019,183.44
975,02/09/2019,182.97
976,09/09/2019,181.73
977,16/09/2019,199.71
978,23/09/2019,181.7
979,30/09/2019,172.55
980,07/10/2019,182.98
981,14/10/2019,196.77
982,21/10/2019,187.08
983,28/10/2019,186.16
984,04/11/2019,193.93
985,11/11/2019,190.25
986,18/11/2019,204.84
987,25/11/2019,195.63
988,02/12/2019,194.86
989,09/12/2019,182.83
990,16/12/2019,204.05
991,23/12/2019,207.55
992,30/12/2019,195.56
993,06/01/2020,192.17
994,13/01/2020,197.66
995,20/01/2020,217.86
996,27/01/2020,216.04
997,03/02/2020,215.85
998,10/02/2020,204.31
999,17/02/2020,209.63
1000,24/02/2020,221.18
1001,02/03/2020,210.95
1002,09/03/2020,221.51
1003,16/03/2020,193.01
1004,23/03/2020,223.21
1005,30/03/2020,204.69
1006,06/04/2020,210
1007,13/04/2020,220.1
1008,20/04/2020,200.03
1009,27/04/2020,200.38
1010,04/05/2020,210.51
1011,11/05/2020,211.06
1012,18/05/2020,223.37
1013,25/05/2020,203.04
1014,01/06/2020,201.19
1015,08/06/2020,207.62
1016,15/06/2020,192.01
1017,22/06/2020,192.76
1018,29/06/2020,208.59
1019,06/07/2020,205.91
1020,13/07/2020,202.99
1021,20/07/2020,194.74
1022,27/07/2020,185.69
1023,03/08/2020,200.05
1024,10/08/2020,182.4
1025,17/08/2020,198.56
1026,24/08/2020,193.29
1027,31/08/2020,189.54
1028,07/09/2020,163.65
1029,14/09/2020,201.49
1030,21/09/2020,191.86
1031,28/09/2020,183.68
1032,05/10/2020,204.88
1033,12/10/2020,193.49
1034,19/10/2020,199.44
1035,26/10/2020,193.09
1036,02/11/2020,207.09
1037,09/11/2020,195.77
1038,16/11/2020,199.18
1039,23/11/2020,203.42
1040,30/11/2020,202.98
1041,07/12/2020,198.41
1042,14/12/2020,209.72
1043,21/12/2020,206.11
1044,28/12/2020,196.27
1045,04/01/2021,207.59
1046,11/01/2021,204.94
1047,18/01/2021,212.92
1048,25/01/2021,223.12
1049,01/02/2021,213.49
1050,08/02/2021,212.03
1051,15/02/2021,221.18
1052,22/02/2021,204.71
1053,01/03/2021,212.39
1054,08/03/2021,233.36
1055,15/03/2021,222.74
1056,22/03/2021,218.97
1057,29/03/2021,227.55
1058,05/04/2021,223.29
1059,12/04/2021,221.09
1060,19/04/2021,223.23
1061,26/04/2021,220.63
1062,03/05/2021,216.9
1063,10/05/2021,224.14
1064,17/05/2021,215.34
1065,24/05/2021,212.31
1066,31/05/2021,202.09
1067,07/06/2021,211.65
1068,14/06/2021,206.45
1069,21/06/2021,206.46
1070,28/06/2021,195.64
